,Coefficient,Mean SHAP,McFadden R2
n_global_token_hapax_legomena,0.05212100735136001,0.026186496386565873,0.962257216964809
n_DET_Number_Plur,0.042969252236626336,0.026116970970883533,0.9622558144069481
n_ADJ_Degree_Sup,-0.05602204889964518,0.026014977628046006,0.9622644363291746
n_entities,-0.049266182077455846,0.02592419469084923,0.9622528106525624
n_PUNCT_PunctSide_Fin,-0.045309536969251336,0.02579823258697468,0.9622541395804521
n_global_lemma_hapax_legomena,0.051766659772731954,0.02555014646044589,0.9622572665068111
n_norp,-0.05610529791558828,0.025334812040042162,0.9622641180766718
n_dependency_agent,-0.03397055285746965,0.025169939460291658,0.962251153966484
avg_sd_Olfactory_sensorimotor,0.04251746624035492,0.02466909721726846,0.9622555248378492
n_dependency_nummod,-0.05650793014095159,0.023948333056237323,0.9622538346700267
n_PRON_Number_Plur,-0.028827259045176995,0.02372459857242879,0.96224895998041
raw_sequence_length,0.031758634915206405,0.02359626710050373,0.9622500830608387
n_syllables,0.030649523436157938,0.02320431344088325,0.9622496430442623
n_dependency_aux,0.02883240801053944,0.022709193375328184,0.9622489562280528
n_dependency_acl,0.029294360928882015,0.02193143747067552,0.9622491357702861
n_high_Auditory_sensorimotor,-0.028053148288431883,0.021862639192047277,0.9622486593999042
n_punct,0.03644822174387241,0.02177435383473547,0.9622507774980282
maas_index,-0.03470655628323437,0.020896721346254917,0.9622495878233778
n_hapax_dislegomena,0.027685173555787375,0.020874971404068122,0.962248509578428
n_controversial_Head_sensorimotor,0.027377666287608023,0.02079994833895039,0.9622484020496845
n_dependency_advmod,-0.026665131910658037,0.020584194992950826,0.9622480883398856
n_dependency_punct,0.03683905344359163,0.02045051408590148,0.9622500318971111
n_controversial_Visual_sensorimotor,0.026146291113027343,0.02035261775537944,0.9622479553065384
avg_Olfactory_sensorimotor,0.03396596558880066,0.020347651897660312,0.9622510881376769
avg_iconicity,0.027633218333044284,0.020267432425703887,0.9622484916875448
yule_k,-0.08866977129784297,0.01997200855929629,0.9622735508704868
herdan_v,-0.08866958271821573,0.019971951464018447,0.9622735507517037
avg_Gustatory_sensorimotor,0.03082426812978698,0.019720919982452706,0.9622497280640718
n_controversial_Gustatory_sensorimotor,-0.023618962496650662,0.019418089243397486,0.9622471006712255
n_low_socialness,-0.023826307202772925,0.019403674536348364,0.9622471650357443
n_lemmas,0.025652204369599002,0.019312702300898956,0.9622477758444252
avg_n_synsets_adv,-0.026503100681084673,0.019296249652353884,0.9622480838363998
n_low_intensity_trust,-0.033143308010027295,0.019037389429052344,0.9622507777955881
n_CCONJ_ConjType_Cmp,-0.024851558700176704,0.018833321795321285,0.9622471909798422
n_cconj,-0.024851558700176704,0.018833321795321285,0.9622471909798422
n_PUNCT_PunctSide_Ini,-0.03292787264303581,0.018776023535307676,0.9622497093002191
tree_width,0.06919048987952094,0.0187012206207041,0.9622500648464668
avg_n_synsets_adj,0.02454713385675398,0.018508982288719694,0.9622474020545553
n_controversial_Auditory_sensorimotor,-0.023849883557764927,0.018497369157883827,0.9622471740405242
n_dependency_cc,-0.02417598739092717,0.01828532369803093,0.9622469785455483
n_org,-0.023347442030758708,0.018047927945821978,0.9622470097009148
n_high_Gustatory_sensorimotor,0.044798808467110825,0.017914932392511303,0.962255772576335
n_dependency_intj,0.05297004563365577,0.017618455768429075,0.9622604364516828
n_num,-0.05690315879152149,0.017512618637157917,0.9622500551107416
n_NUM_NumType_Card,-0.05689480646253991,0.017509800868481282,0.9622500531926647
n_DET_Number_Sing,0.020563396205831086,0.01705542858472765,0.9622461792037005
n_dependency_prep,-0.021945026811429427,0.016918730456172728,0.9622465722265031
n_low_iconicity,-0.021734936049200244,0.016844380560654803,0.9622465185679384
avg_sd_Gustatory_sensorimotor,0.026510317433032823,0.016069055713178355,0.9622480775094626
n_PRON_Person_3,0.02223367121422469,0.015686047376112205,0.96224666051247
summer_index,0.0487058129555825,0.015660842081661675,0.9622554500033368
n_pron,-0.0198453271116952,0.015493321687192231,0.9622459833207382
n_date,-0.024799518446895426,0.015203207425418154,0.9622474784381315
n_adv,-0.019026628260684336,0.015125717754667705,0.9622457651008994
n_cardinal,-0.05449240403044094,0.015105028939336556,0.9622472491926435
n_PRON_Case_Nom,-0.018145815922900273,0.014496301209972282,0.9622455444062946
